starttime,stoptime,start station id,end station id
9/1/15 0:00,9/1/15 0:04,263,307
9/1/15 0:00,9/1/15 0:02,495,449
9/1/15 0:00,9/1/15 0:06,3119,3118
9/1/15 0:00,9/1/15 0:15,536,340
9/1/15 0:00,9/1/15 0:11,347,483
9/1/15 0:00,9/1/15 0:06,2004,254
9/1/15 0:00,9/1/15 0:02,173,450
9/1/15 0:00,9/1/15 0:18,397,3044
9/1/15 0:00,9/1/15 0:03,536,476
9/1/15 0:00,9/1/15 0:19,397,3044
9/1/15 0:01,9/1/15 0:04,307,412
9/1/15 0:01,9/1/15 0:13,3075,364
9/1/15 0:01,9/1/15 0:08,361,356
9/1/15 0:01,9/1/15 0:15,358,147
9/1/15 0:02,9/1/15 0:16,410,3087
9/1/15 0:02,9/1/15 0:27,509,494
9/1/15 0:02,9/1/15 0:09,2003,474
9/1/15 0:02,9/1/15 0:05,450,479
9/1/15 0:02,9/1/15 0:28,386,386
9/1/15 0:02,9/1/15 0:11,285,382
9/1/15 0:02,9/1/15 0:12,479,458
9/1/15 0:03,9/1/15 0:23,3133,334
9/1/15 0:03,9/1/15 0:12,479,458
9/1/15 0:03,9/1/15 0:28,386,386
9/1/15 0:03,9/1/15 0:23,3133,334
9/1/15 0:03,9/1/15 0:14,2021,500
9/1/15 0:03,9/1/15 0:14,495,468
9/1/15 0:04,9/1/15 0:19,488,3223
9/1/15 0:04,9/1/15 0:07,316,279
9/1/15 0:04,9/1/15 0:15,463,72
9/1/15 0:04,9/1/15 0:17,274,437
9/1/15 0:04,9/1/15 0:09,317,2003
9/1/15 0:04,9/1/15 0:09,545,325
9/1/15 0:04,9/1/15 0:17,326,116
9/1/15 0:05,9/1/15 0:17,274,437
9/1/15 0:05,9/1/15 0:19,368,488
9/1/15 0:05,9/1/15 0:09,3118,3113
9/1/15 0:05,9/1/15 0:11,442,482
9/1/15 0:06,9/1/15 0:08,348,161
9/1/15 0:06,9/1/15 0:15,386,2008
9/1/15 0:06,9/1/15 0:25,3133,545
9/1/15 0:07,9/1/15 0:34,539,3058
9/1/15 0:07,9/1/15 0:22,347,446
9/1/15 0:07,9/1/15 0:19,518,438
9/1/15 0:07,9/1/15 0:14,468,515
9/1/15 0:07,9/1/15 0:12,528,472
9/1/15 0:07,9/1/15 0:24,479,498
9/1/15 0:07,9/1/15 0:23,396,481
9/1/15 0:07,9/1/15 0:10,294,369
9/1/15 0:07,9/1/15 0:13,296,291
9/1/15 0:08,9/1/15 0:16,293,545
9/1/15 0:08,9/1/15 0:34,539,3058
9/1/15 0:08,9/1/15 0:27,539,344
9/1/15 0:08,9/1/15 0:15,509,458
9/1/15 0:08,9/1/15 0:13,294,325
9/1/15 0:09,9/1/15 0:19,515,435
9/1/15 0:09,9/1/15 0:32,393,3117
9/1/15 0:09,9/1/15 0:16,477,458
9/1/15 0:09,9/1/15 0:13,382,383
9/1/15 0:10,9/1/15 0:31,212,311
9/1/15 0:11,9/1/15 0:31,2021,432
9/1/15 0:11,9/1/15 0:30,312,534
9/1/15 0:11,9/1/15 0:21,521,537
9/1/15 0:11,9/1/15 0:33,487,514
9/1/15 0:12,9/1/15 0:33,482,2021
9/1/15 0:12,9/1/15 0:33,482,2021
9/1/15 0:12,9/1/15 0:18,3110,3115
9/1/15 0:12,9/1/15 0:33,405,439
9/1/15 0:12,9/1/15 0:16,3093,481
9/1/15 0:12,9/1/15 0:17,355,417
9/1/15 0:13,9/1/15 0:22,453,474
9/1/15 0:13,9/1/15 0:42,325,245
9/1/15 0:13,9/1/15 0:27,428,444
9/1/15 0:13,9/1/15 0:29,497,479
9/1/15 0:13,9/1/15 0:16,507,528
9/1/15 0:13,9/1/15 0:19,454,367
9/1/15 0:13,9/1/15 0:25,483,331
9/1/15 0:14,9/1/15 0:36,160,295
9/1/15 0:13,9/1/15 0:23,477,367
9/1/15 0:13,9/1/15 0:28,447,173
9/1/15 0:14,9/1/15 0:24,3117,3107
9/1/15 0:14,9/1/15 0:21,536,326
9/1/15 0:14,9/1/15 0:19,308,311
9/1/15 0:14,9/1/15 0:18,3093,3104
9/1/15 0:14,9/1/15 1:18,280,511
9/1/15 0:14,9/1/15 0:23,480,490
9/1/15 0:14,9/1/15 0:27,447,173
9/1/15 0:14,9/1/15 0:19,3103,471
9/1/15 0:14,9/1/15 0:42,387,459
9/1/15 0:14,9/1/15 0:29,387,239
9/1/15 0:15,9/1/15 0:42,387,459
9/1/15 0:15,9/1/15 0:42,387,459
9/1/15 0:15,9/1/15 0:26,517,500
9/1/15 0:15,9/1/15 0:22,297,527
9/1/15 0:15,9/1/15 0:23,498,478
9/1/15 0:15,9/1/15 0:20,3092,3112
9/1/15 0:16,9/1/15 0:18,423,469
9/1/15 0:16,9/1/15 0:30,335,470
9/1/15 0:16,9/1/15 0:35,453,433
